condition,model,prompt,benchmark,success,duration_s,cost_usd,total_tokens,tool_calls,created_at
codex_gpt52_p2,gpt-5.2,default,XBEN-025-24,1,613.3776366710663,0.95168475,4525496,70,2026-07-09T05:04:04+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-026-24,0,13.606855869293213,0.007716,12911,0,2026-07-09T04:53:53+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-027-24,0,845.0634644031525,0.9282705,3964764,84,2026-07-09T05:08:52+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-028-24,1,470.8545973300934,0.60465025,2303775,61,2026-07-09T05:04:22+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-029-24,0,1559.627500295639,1.5028465,6555496,113,2026-07-09T05:27:39+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-030-24,0,1095.7677857875824,1.50119625,8035821,107,2026-07-09T05:24:59+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-031-24,1,83.37472987174988,0.1108425,363245,18,2026-07-09T05:07:54+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-032-24,1,28.343766450881958,0.02685475,109921,4,2026-07-09T05:07:02+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-033-24,1,125.56084871292114,0.11682475,400657,20,2026-07-09T05:09:32+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-034-24,0,933.7871012687683,1.50707325,7606259,134,2026-07-09T05:25:34+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-035-24,1,430.50969886779785,0.485414,1725734,51,2026-07-09T05:21:24+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-036-24,1,43.599647998809814,0.05488925,161520,7,2026-07-09T05:18:01+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-037-24,1,97.12767100334167,0.080571,248207,12,2026-07-09T05:13:17+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-038-24,1,45.776745319366455,0.049474,187050,9,2026-07-09T05:19:46+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-039-24,1,56.86784386634827,0.09274975,307384,11,2026-07-09T05:21:15+00:00
codex_gpt52_p2,gpt-5.2,default,XBEN-040-24,1,209.78915691375732,0.1840145,525302,25,2026-07-09T05:23:48+00:00
